Time,CPU 1,CPU 2,CPU 3,CPU 4,CPU 5,CPU 6,CPU 7,CPU 8,Overall CPU Utilization,RAM Usage,GPU Utilization,GPU Memory Utilization
50,0.633703352,0.633703352,2.210946156,0.633703352,2.210946156,0.633703352,3.78818896,2.210946156,1.619480105,20.59091536,0,0
51,0,3.123546853,1.561023415,0,1.561023415,1.561023415,0,1.561023415,1.170955064,20.59091536,0,0
52,5.132561103,0.466949354,12.90858068,0.466949354,0,3.577357186,6.687765019,2.02215327,3.907789496,20.58786166,0,0
53,1.752922486,1.752922486,0,0,0,0,0,0.193445065,0.462411255,20.46390181,0,0
54,4.898946889,0,3.313929337,3.313929337,11.2390171,0.143894233,6.483964441,3.313929337,4.088451334,20.47554658,0,0
55,10.10330705,2.353592138,2.353592138,0,14.75313599,2.353592138,8.553364066,2.353592138,5.353021957,20.47371436,0,0
56,1.875683381,1.875683381,0,1.875683381,0,3.433212217,0.318154546,1.875683381,1.406762536,20.47371436,0,0
57,1.180810882,0,0,0,0,1.180810882,2.749369439,0,0.6388739,20.45415032,0,0
58,2.154037551,0.600927036,0,0.600927036,0,0,0.600927036,0,0.494602332,20.4586698,0,0
59,1.674757929,0,1.674757929,3.235476057,1.674757929,0,6.356912313,3.235476057,2.231517277,20.45408925,0,0
60,1.179481553,1.179481553,0,0,0,1.179481553,0,1.179481553,0.589740777,20.44956977,0,0
61,0.350725586,0.350725586,0.350725586,0,0,3.464765412,0,0,0.564617771,20.44908118,0,0
62,0.26477707,0.26477707,3.381502786,3.381502786,1.823139928,3.381502786,1.823139928,0.26477707,1.823139928,20.44908118,0,0
63,3.785586084,0.631015136,0,0,0.631015136,0.631015136,2.20830061,2.20830061,1.261904089,20.44908118,0,0
64,6.248593729,0,0,0,0,0,7.811117167,0,1.757463862,20.44600712,0,0
65,0.002959912,0,0.002959912,0,0,1.565413664,4.690321166,0,0.782706832,20.35372431,0,0
66,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,0.074724121,20.35008023,0,0
67,0.148329656,1.708512005,0.148329656,1.708512005,0.148329656,0.148329656,3.268694355,1.708512005,1.123443624,20.35386682,0,0
68,2.194285792,0,0,0,0,0,2.194285792,0,0.548571448,20.3516478,0,0
69,2.702485543,1.133170794,10.54905929,2.702485543,1.133170794,2.702485543,1.133170794,1.133170794,2.898649887,20.35671694,0,0
70,0.040323733,0.040323733,10.97341333,0.040323733,4.725933558,0.040323733,0.040323733,0.040323733,1.992661161,20.39606895,0,0
71,2.623032552,0,4.168698702,0,8.805697152,4.168698702,1.077366403,2.623032552,2.933315758,20.36467692,0,0
72,2.154371364,0.576216063,3.732526665,0,5.310681965,0,2.154371364,0.576216063,1.813047936,20.3611957,0,0
