Time,gpuutil,gpumem,ram,cpu,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8
83,0,0,22.97426708,20.83738479,34.48611155,14.20800323,17.3277122,23.56713015,18.88756669,20.44742117,29.80654809,7.968585279
84,0,0,23.43435787,59.66001167,60.45099183,55.70511085,57.28707118,79.43451575,52.5411902,52.5411902,65.19687281,54.12315052
85,0,0,23.07141546,82.11547716,87.55859281,78.22753741,90.66894461,82.89306511,75.11718561,84.44824101,81.33788921,76.67236151
86,0,0,23.28837066,22.83062378,22.63721682,19.54270549,30.37349514,45.84605177,10.25917151,13.35368284,19.54270549,21.08996116
87,0,0,24.12129785,97.8517567,96.87528247,98.43764124,98.43764124,96.87528247,98.43764124,96.87528247,100,96.87528247
88,0,0,23.91865432,82.96024603,79.63063893,78.063765,84.33126071,81.19751286,87.46500857,89.0318825,84.33126071,79.63063893
89,0,0,23.87960768,100,100,100,100,100,100,100,100,100
90,0,0,23.88587794,100,100,100,100,100,100,100,100,100
91,0,0,23.88587794,100,100,100,100,100,100,100,100,100
92,0,0,23.88587794,100,100,100,100,100,100,100,100,100
93,0,0,23.88587794,100,100,100,100,100,100,100,100,100
94,0,0,23.88587794,100,100,100,100,100,100,100,100,100
95,0,0,23.88587794,100,100,100,100,100,100,100,100,100
96,0,0,23.88587794,100,100,100,100,100,100,100,100,100
97,0,0,23.88587794,100,100,100,100,100,100,100,100,100
98,0,0,23.88587794,100,100,100,100,100,100,100,100,100
99,0,0,23.93565325,100,100,100,100,100,100,100,100,100
100,0,0,23.88583722,100,100,100,100,100,100,100,100,100
101,0,0,23.88583722,100,100,100,100,100,100,100,100,100
102,0,0,23.87753116,100,100,100,100,100,100,100,100,100
103,0,0,23.87753116,100,100,100,100,100,100,100,100,100
104,0,0,23.87753116,100,100,100,100,100,100,100,100,100
105,0,0,23.87753116,100,100,100,100,100,100,100,100,100
106,0,0,23.87683899,100,100,100,100,100,100,100,100,100
107,0,0,23.87651326,100,100,100,100,100,100,100,100,100
108,0,0,23.87651326,100,100,100,100,100,100,100,100,100
109,0,0,23.8757193,100,100,100,100,100,100,100,100,100
110,0,0,23.92508745,100,100,100,100,100,100,100,100,100
111,0,0,23.87531214,100,100,100,100,100,100,100,100,100
112,0,0,23.87531214,100,100,100,100,100,100,100,100,100
113,0,0,23.87531214,100,100,100,100,100,100,100,100,100
114,0,0,23.87531214,100,100,100,100,100,100,100,100,100
115,0,0,23.88109381,100,100,100,100,100,100,100,100,100
116,0,0,23.88105309,100,100,100,100,100,100,100,100,100
117,0,0,23.88105309,100,100,100,100,100,100,100,100,100
118,0,0,23.88105309,100,100,100,100,100,100,100,100,100
119,0,0,23.88105309,100,100,100,100,100,100,100,100,100
120,0,0,23.88105309,100,100,100,100,100,100,100,100,100
121,0,0,23.88105309,100,100,100,100,100,100,100,100,100
122,0,0,23.93050268,100,100,100,100,100,100,100,100,100
123,0,0,23.86480741,100,100,100,100,100,100,100,100,100
124,0,0,23.86429846,100,100,100,100,100,100,100,100,100
125,0,0,23.86429846,100,100,100,100,100,100,100,100,100
126,0,0,23.8632602,100,100,100,100,100,100,100,100,100
127,0,0,23.8632602,100,100,100,100,100,100,100,100,100
128,0,0,23.8632602,100,100,100,100,100,100,100,100,100
129,0,0,23.8632602,100,100,100,100,100,100,100,100,100
130,0,0,23.82704332,100,100,100,100,100,100,100,100,100
131,0,0,23.82675831,100,100,100,100,100,100,100,100,100
132,0,0,23.82675831,100,100,100,100,100,100,100,100,100
133,0,0,23.87653362,100,100,100,100,100,100,100,100,100
134,0,0,23.82675831,100,100,100,100,100,100,100,100,100
135,0,0,23.82675831,100,100,100,100,100,100,100,100,100
136,0,0,23.82657509,100,100,100,100,100,100,100,100,100
137,0,0,23.82657509,100,100,100,100,100,100,100,100,100
138,0,0,23.82657509,100,100,100,100,100,100,100,100,100
139,0,0,23.82657509,100,100,100,100,100,100,100,100,100
140,0,0,23.82484466,100,100,100,100,100,100,100,100,100
141,0,0,23.82484466,100,100,100,100,100,100,100,100,100
142,0,0,23.82907912,100,100,100,100,100,100,100,100,100
143,0,0,23.82907912,100,100,100,100,100,100,100,100,100
144,0,0,23.87885443,100,100,100,100,100,100,100,100,100
145,0,0,23.82907912,100,100,100,100,100,100,100,100,100
146,0,0,23.83477936,100,100,100,100,100,100,100,100,100
147,0,0,23.83477936,100,100,100,100,100,100,100,100,100
148,0,0,23.83477936,100,100,100,100,100,100,100,100,100
149,0,0,23.83477936,100,100,100,100,100,100,100,100,100
150,0,0,23.83477936,100,100,100,100,100,100,100,100,100
151,0,0,23.83477936,100,100,100,100,100,100,100,100,100
152,0,0,23.83477936,100,100,100,100,100,100,100,100,100
153,0,0,23.83477936,100,100,100,100,100,100,100,100,100
154,0,0,23.84451049,100,100,100,100,100,100,100,100,100
155,0,0,23.89426544,100,100,100,100,100,100,100,100,100
156,0,0,23.90607308,100,100,100,100,100,100,100,100,100
157,0,0,23.85629777,100,100,100,100,100,100,100,100,100
158,0,0,23.85629777,100,100,100,100,100,100,100,100,100
159,0,0,23.85629777,100,100,100,100,100,100,100,100,100
160,0,0,23.68547379,100,100,100,100,100,100,100,100,100
